Systemization - Subsystem (Summary),Subsystem ID,Systemization - Process Plant ID,Physical Location - Area (Summary),Asset Discipline,Discipline
PS5-60-23 - Instrument Air Distribution lines,PS5-60-23,EACOP,PS5 - TZA - PS5 - Tanzania,P,P
PS5-82-04 - Sewage Treatment Plant Discharge Piping,PS5-82-04,EACOP,PS5 - TZA - PS5 - Tanzania,P,P
PS5-02-02 - Portable Fire Fighting Equipments,PS5-02-02,EACOP,PS5 - TZA - PS5 - Tanzania,S,S
PS5-08-23 - VHF Trunk Radio System,PS5-08-23,EACOP,PS5 - IDN - PS5 - Indonesia,T,T
PS5-08-71 - Structured Cabling (CAT6),PS5-08-71,EACOP,PS5 - IDN - PS5 - Indonesia,T,T
PS5-08-83 - Perimeter & Pipeline intrusion detection system,PS5-08-83,EACOP,PS5 - TZA - PS5 - Tanzania,T,T
PS5-08-14 - Industrial Data Network (SII SP1),PS5-08-14,EACOP,PS5 - TZA - PS5 - Tanzania,T,T
PS5-08-82 - Key Management,PS5-08-82,EACOP,PS5 - TZA - PS5 - Tanzania,T,T
PS5-08-55 - Videoconference,PS5-08-55,EACOP,PS5 - TZA - PS5 - Tanzania,T,T
PS5-08-51 - Entertainment,PS5-08-51,EACOP,PS5 - TZA - PS5 - Tanzania,T,T
PS5-08-86 - Integrated Security Management System,PS5-08-86,EACOP,PS5 - TZA - PS5 - Tanzania,T,T
PS5-08-34 - Satphone,PS5-08-34,EACOP,PS5 - TZA - PS5 - Tanzania,T,T
PS5-08-92 - Telecom Mast,PS5-08-92,EACOP,PS5 - TZA - PS5 - Tanzania,T,T
PS5-04-01 - Office Building PCS System,PS5-04-01,EACOP,PS5 - TZA - PS5 - Tanzania,T,T
PS5-08-81 - Guard tour,PS5-08-81,EACOP,PS5 - TZA - PS5 - Tanzania,T,T
PS5-08-04 - Hotline,PS5-08-04,EACOP,PS5 - TZA - PS5 - Tanzania,T,T
PS5-82-01 - Sanitary Sewage Collection,PS5-82-01,EACOP,PS5 - TZA - PS5 - Tanzania,,P
PS5-08-72 - Structured Cabling (FO),PS5-08-72,EACOP,PS5 - IDN - PS5 - Indonesia,T,T
PS5-08-36 - Pipeline FO Cable & EPRS,PS5-08-36,EACOP,PS5 - TZA - PS5 - Tanzania,T,T
